"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"1973/1974",1974,120,120,0,100,81.5869119352701,982.32095404085,525
"1974/1975",1975,120,120,0,100,88.6021882136474,1646.88775125651,340
"1976/1977",1977,121,121,0,100,70.8141383848908,676.483183848031,1057
"1977/1978",1978,120,120,0,100,73.2355089035069,1408.97904750268,807
"1978/1979",1979,120,120,0,100,48.9357207737414,1446.23363662712,1729
"1979/1980",1980,120,120,0,100,68.3788304077252,817.84557628457,1038
"1980/1981",1981,121,121,0,100,64.5542092822093,710.859755081648,1368
"1987/1988",1988,120,120,0,100,83.2229504817788,1109.45801352593,509
"1988/1989",1989,121,121,0,100,88.0557089047825,1122.00465261017,441
"1991/1992",1992,120,120,0,100,84.557236657844,860.622105752118,590
"1992/1993",1993,121,121,0,100,77.0429814304421,1070.47266146704,721
"1994/1995",1995,120,120,0,100,83.4319696134453,1794.34066301677,630
"1995/1996",1996,120,120,0,100,54.4088841972734,396.318031953881,1912
"1996/1997",1997,121,121,0,100,68.576295879745,1306.90393220726,1191
"1997/1998",1998,120,120,0,100,84.4545889544152,1549.65073015878,588
"1998/1999",1999,120,120,0,100,74.874075202586,711.762579853414,1109
"1999/2000",2000,120,120,0,100,83.3265215146994,1291.93255410064,618
"2000/2001",2001,121,121,0,100,76.0217592083318,1871.18272414908,834
"2001/2002",2002,120,120,0,100,81.4327493233613,1889.34283524402,837
"2002/2003",2003,120,120,0,100,69.1523285189569,441.432941908715,1317
"2003/2004",2004,120,120,0,100,79.4161489222715,1540.08377693407,820
"2004/2005",2005,121,121,0,100,79.0599469112476,1190.32123429608,805
"2005/2006",2006,120,120,0,100,70.7504067168411,1509.37051364291,1171
"2006/2007",2007,120,120,0,100,91.5489222901524,3580.09342788183,249
"2007/2008",2008,120,120,0,100,86.4508095928541,1708.06616870384,383
"2008/2009",2009,121,121,0,100,77.5577667721673,1169.66261343332,809
"2009/2010",2010,120,120,0,100,55.1734863081974,1510.62589029828,1521
"2010/2011",2011,120,120,0,100,58.4696214974101,861.57378562144,1629
"2011/2012",2012,120,120,0,100,79.1072120872395,1286.93770425767,664
"2012/2013",2013,121,121,0,100,68.0714791087048,1004.63385322667,1197
"2016/2017",2017,121,121,0,100,81.1106158303837,1080.29017901514,737
"2017/2018",2018,120,120,0,100,76.2121693638974,1124.11816784018,671
"2018/2019",2019,120,120,0,100,85.9640773360625,2030.66405848344,476
